url,texto
https://www.vinhoegastronomia.com.br,Guto Martinezhá 5 dias2 minWine Weekend São Paulo começa dia 30 de Junho no Pavilhão Pacaembu131 curtida. Post não marcado como curtido1
https://www.vinhoegastronomia.com.br/inicio/categories/alemanha,Guto Martinez14 de ago. de 20194 minRiesling: a rainha das uvas brancas na Alemanha253 curtidas. Post não marcado como curtido3
https://www.vinhoegastronomia.com.br/inicio/categories/alentejo,Guto Martinezhá 5 dias2 minAdega de Redondo marca presença na 10° edição do Vinhos de Portugal de SP172 curtidas. Post não marcado como curtido2
https://www.vinhoegastronomia.com.br/inicio/categories/argentina,Guto Martinez16 de dez. de 20221 minPenedo Borges Bodega Boutique utiliza vinho para financiar programas sociais112 curtidas. Post não marcado como curtido2
https://www.vinhoegastronomia.com.br/inicio/categories/azeite,Guto Martinez13 de jan.3 minCurso de Degustação de Vinhos e Azeites é atração na vindima da Vinícola Aurora191 curtida. Post não marcado como curtido1
https://www.vinhoegastronomia.com.br/inicio/categories/bairrada,Guto Martinez28 de abr. de 20224 minLusovini e o melhor de cada terroir português262 curtidas. Post não marcado como curtido2
https://www.vinhoegastronomia.com.br/inicio/categories/bares,"Guto Martinez27 de fev.3 minClaude e Thomas Troisgros abrem Le Quartier, complexo gastronômico em SP211 curtida. Post não marcado como curtido1"
https://www.vinhoegastronomia.com.br/inicio/categories/brasil,"Guto Martinez10 de mar.5 minDesnuva, preparada com uva lorena, é a novidade da Cervejaria Nacional201 curtida. Post não marcado como curtido1"
https://www.vinhoegastronomia.com.br/inicio/categories/cachaça,Guto Martinez13 de mai. de 20213 minWine Trade Fair e Cachaça Trade Fair inauguram hub dedicado à venda de bebidas no atacado161 curtida. Post não marcado como curtido1
https://www.vinhoegastronomia.com.br/inicio/categories/café,Guto Martinez27 de jan.3 minPrimeira Cafeteria Bialetti do Mundo é inaugurada no Brasil342 curtidas. Post não marcado como curtido2
https://www.vinhoegastronomia.com.br/inicio/categories/cerveja,"Guto Martinez10 de mar.5 minDesnuva, preparada com uva lorena, é a novidade da Cervejaria Nacional201 curtida. Post não marcado como curtido1"
